"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt","Position_im_Unternehmen","Remotarbeit","IS_K01","IS_K02","IS_K03","IS_K04","IS_E05","IS_E06","IS_E07","IS_E08","OC_A01","OC_A02","OC_A03","OC_A04","OC_A05","CPE_C01","CPE_C02","CPE_C03","CPE_C04","CPE_I05","CPE_I06","CPE_I07","CPE_I08","CPE_M09","CPE_M10","CPE_M11","CPE_M12","CPE_E13","CPE_E14","CPE_E15","CPE_E16","PS_01","PS_02","PS_03","PS_04","PS_05","PS_06","PS_07","QQ_01","QQ_02","QQ_03","QQ_04","QQ_05","QQ_06","QQ_07","QQ_N08","QQ_N09","QQ_N10","QQ_N11","QQ_N12","QQ_N13","QQ_N14","SL_01","SL_02","SL_03","SL_04","SL_05","SL_06","SL_07","ZE01","ZE04","TIME_SUM","TIME_RSI","Time_sum_m"
"165",165,24,2,6,NA,0.75,1,20,2,1,2,2,4,1,1,2,2,1,1,3,3,3,3,3,6,7,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,7,7,6,6,7,6,2,1,2,2,1,3,2,3,2,2,1,4,2,3,6,5,5,3,5,6,7,1,1,553,1.06,9.21666666666667
"166",166,48,2,4,NA,25.0833333333333,2,39,3,4,1,7,7,2,7,6,5,1,7,5,5,5,5,5,6,5,7,6,6,6,6,6,7,6,7,6,7,7,6,6,3,4,3,3,1,3,6,4,5,4,3,1,5,1,5,5,5,2,4,5,5,6,7,7,7,6,7,5,1,1,464,1.19,7.73333333333333
"167",167,59,2,6,NA,39.75,2,0,2,1,2,2,5,1,5,1,3,3,1,5,3,4,4,3,4,5,5,5,6,5,6,5,5,6,5,5,5,5,6,6,6,7,6,5,6,7,6,2,2,2,2,1,2,2,3,2,2,2,1,1,2,5,4,3,4,2,5,3,1,1,745,0.71,12.4166666666667
"168",168,56,1,8,NA,8.83333333333333,2,38.5,6,4,1,5,6,2,6,2,2,1,3,3,5,4,4,4,5,6,6,5,6,5,7,6,6,6,6,7,5,5,6,4,6,7,5,5,5,6,5,3,1,1,2,3,2,3,2,1,2,3,1,1,3,5,4,5,5,4,4,7,1,1,698,0.89,11.6333333333333
"169",169,59,2,7,NA,7.58333333333333,2,17.7,1,1,1,3,6,2,2,3,2,3,2,4,4,4,5,4,6,3,6,3,6,6,7,6,6,6,6,7,7,5,6,6,7,7,7,7,6,7,6,2,1,4,1,1,2,2,2,1,3,2,2,1,1,6,5,7,5,5,7,7,1,1,878,0.66,14.6333333333333
"170",170,31,1,6,NA,4.08333333333333,2,32,3,3,1,7,6,3,6,5,2,4,6,3,2,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,6,7,7,7,5,2,1,3,2,3,3,4,1,3,2,2,2,2,5,5,4,6,1,3,7,1,1,351,1.61,5.85
"171",171,50,1,7,NA,6.08333333333333,2,40,7,1,4,2,2,2,2,2,2,2,2,5,4,4,3,4,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,6,7,6,6,7,7,7,1,1,2,3,3,3,3,1,1,2,2,1,1,2,6,4,1,2,4,5,5,1,1,880,0.37,14.6666666666667
"172",172,53,2,3,NA,1.41666666666667,2,20,2,1,1,2,3,1,2,1,1,1,2,4,4,4,4,4,5,5,6,5,6,4,5,5,4,5,5,5,5,5,6,5,7,7,7,7,7,7,7,2,1,2,2,3,2,3,3,2,1,1,2,1,2,5,4,7,7,3,5,6,1,1,662,0.85,11.0333333333333
"173",173,32,2,7,NA,1.5,2,40,3,1,3,6,6,3,5,4,6,4,4,1,2,3,3,1,1,2,4,1,5,4,7,5,1,1,2,2,1,1,4,2,1,1,1,2,5,6,4,1,1,2,3,5,3,5,1,3,3,1,3,2,1,1,1,1,1,1,1,1,1,1,443,1.56,7.38333333333333
"174",174,50,2,5,NA,4,2,19.5,2,1,2,2,3,5,3,2,3,5,3,5,3,3,4,3,5,5,4,3,4,5,6,6,4,6,5,5,4,4,4,5,6,7,7,4,5,7,5,4,1,2,2,3,2,2,3,1,2,2,2,2,4,6,6,5,6,4,7,6,1,1,674,0.77,11.2333333333333
"175",175,35,2,3,NA,18.6666666666667,2,39,4,1,4,2,2,4,2,2,3,4,2,4,4,4,4,3,5,6,4,4,4,4,7,2,3,4,4,4,4,4,5,5,6,6,7,6,6,7,7,2,1,2,2,1,1,1,3,1,1,1,3,1,2,6,7,7,7,6,6,6,1,1,786,0.7,13.1
"176",176,58,2,5,NA,19.5,2,20,2,1,1,3,2,2,2,1,2,2,2,4,3,3,3,4,7,4,6,6,6,6,7,7,5,7,7,7,6,7,4,6,6,7,5,5,4,6,7,5,1,2,1,1,1,1,4,2,2,2,4,1,1,6,6,7,6,5,6,7,1,1,835,0.6,13.9166666666667
"177",177,60,1,6,NA,15.1666666666667,2,39,6,3,1,4,6,2,3,2,3,4,3,5,4,3,4,4,6,7,6,6,6,6,5,6,6,6,5,7,5,5,6,5,7,7,6,7,6,6,6,3,1,2,1,3,2,2,3,1,2,3,1,1,1,5,3,6,5,4,6,7,1,1,611,0.97,10.1833333333333
"178",178,26,2,6,NA,1.25,1,20,2,1,6,4,3,3,1,1,1,4,3,4,3,4,4,4,4,5,4,5,6,6,5,4,6,6,6,6,6,6,6,5,6,7,7,7,7,6,7,3,2,3,1,2,2,1,3,1,1,2,4,1,3,6,7,7,5,6,7,7,1,1,433,1.39,7.21666666666667
"179",179,49,2,7,NA,15.1666666666667,2,40,6,1,3,4,4,2,3,1,2,2,2,3,2,3,2,3,5,5,4,6,3,3,4,2,1,4,5,4,2,3,3,1,2,3,1,1,2,3,2,4,2,2,3,1,3,3,4,3,2,1,2,2,1,4,2,2,1,1,3,4,1,1,859,0.84,14.3166666666667
"180",180,61,2,6,NA,11.3333333333333,2,40,3,1,2,7,7,2,7,3,2,2,4,4,4,4,4,4,6,6,6,5,6,5,6,5,6,6,6,6,6,6,6,6,5,7,7,6,6,6,6,2,1,2,2,3,2,5,4,2,2,2,1,1,4,2,4,5,4,2,4,4,1,1,432,1.67,7.2
"181",181,30,2,5,NA,12.75,2,40,3,1,1,7,6,7,5,5,5,7,3,4,4,4,4,4,5,3,5,5,4,6,5,3,3,5,5,6,5,5,5,5,3,4,3,4,3,5,5,4,1,4,3,5,2,4,4,2,4,4,2,2,4,3,5,3,3,5,5,5,1,1,795,0.56,13.25
"182",182,22,2,6,NA,0.166666666666667,2,8,1,1,3,2,2,2,2,1,1,5,1,4,3,4,3,4,5,5,4,5,4,4,4,4,4,5,4,5,4,5,4,5,5,7,6,5,4,5,4,4,2,2,3,2,4,2,3,4,4,3,2,2,2,4,4,4,3,4,5,5,1,1,305,1.95,5.08333333333333
"183",183,55,2,3,NA,39.75,2,28,3,1,2,5,5,4,3,3,3,3,4,4,4,5,4,5,5,5,4,5,5,5,3,5,6,6,7,7,7,7,7,7,5,7,5,6,7,6,5,4,1,2,2,1,2,2,3,1,4,2,1,2,2,6,3,6,4,3,7,7,1,1,943,0.42,15.7166666666667
"184",184,59,1,7,NA,38.75,2,39,4,1,2,2,2,2,2,1,1,2,1,5,5,5,5,5,7,4,6,6,6,6,7,6,5,5,5,6,7,7,6,6,7,7,7,7,7,7,7,1,1,2,1,2,1,1,1,2,1,1,1,1,1,7,5,7,6,6,6,6,1,1,651,0.93,10.85
"185",185,28,2,6,NA,2.41666666666667,2,38.5,3,1,3,3,4,2,1,2,2,2,1,3,2,3,3,4,5,2,5,3,6,5,5,5,4,5,4,5,6,6,6,2,5,7,7,6,6,7,6,4,2,4,2,2,2,3,4,3,2,3,4,2,2,4,3,5,5,3,5,5,1,1,568,0.91,9.46666666666667
"186",186,50,2,7,NA,20,2,30,3,1,2,1,2,2,1,4,1,2,1,4,5,4,4,4,2,5,5,3,3,3,5,4,4,4,4,4,3,6,4,3,5,7,6,6,6,6,6,4,2,2,3,2,2,2,4,3,3,1,1,4,1,5,6,1,6,5,7,6,1,1,480,1.31,8
"187",187,53,1,5,NA,31.4166666666667,2,40,2,4,2,3,7,3,7,2,3,3,3,5,5,4,4,5,5,5,5,5,5,6,6,6,6,7,6,7,6,6,6,5,6,2,5,5,6,6,2,2,2,2,2,2,2,1,4,2,3,2,2,2,2,5,6,7,7,6,5,7,1,1,852,0.72,14.2
"188",188,47,2,3,NA,4,2,30,3,1,1,1,2,2,2,1,5,3,1,4,4,4,4,4,3,3,3,2,5,4,6,3,1,2,2,6,3,3,3,6,6,7,5,4,5,7,6,5,1,4,2,2,2,5,2,2,2,2,2,2,2,2,1,1,1,2,6,4,1,1,384,1.54,6.4
"189",189,26,1,6,NA,0.25,2,35,3,1,1,5,6,1,5,1,1,1,1,1,1,1,1,1,6,6,6,6,4,7,6,5,2,3,3,2,4,4,4,1,3,4,3,4,2,2,3,4,3,3,4,3,3,2,4,2,3,2,2,2,2,6,6,6,7,6,7,7,1,1,455,1.33,7.58333333333333
"190",190,26,2,6,NA,2.16666666666667,2,40,3,2,2,5,7,1,7,5,1,2,1,4,5,5,4,4,7,7,6,6,4,5,7,6,3,6,4,6,5,5,4,4,6,7,7,4,5,6,6,1,1,2,1,1,1,1,2,1,1,2,1,1,2,5,5,7,1,4,7,4,1,1,362,1.45,6.03333333333333
